tumeisi
tumėmės
tumėtės
iuosna
tumėme
tumėte
siuosi
čiausi
telėti
terėti
tumeis
enimis
utėait
okatės
iosna
uosna
enyje
eryje
iuose
enyse
eryse
eriai
tumei
erimi
siesi
ėjosi
iuosi
iuoti
iauti
inėti
eniui
tumėm
iomis
enims
erims
iamės
kimės
simės
iatės
sitės
tumėt
uliuk
učiuk
siant
ojime
ėjime
avime
okate
asius
aitės
uotės
eria
osna
ysna
ėsna
enie
erie
ioje
iuje
iame
sime
iose
uose
iate
kite
site
tute
iumi
iasi
iesi
aisi
eisi
uisi
uosi
ausi
tųsi
enti
inti
ioti
uoti
auti
e
